id;meta_id;nombre;precio;categoria;genero;tallas;descripcion;disponible;imagen_meta_url;imagen_local_path
011;26783752317892712;TANK TOP PRIMAVERA SOUND X PB;4.79;sin_categoria;unisex;XS,S,M,L;M;False;https://scontent.fqsa1-1.fna.fbcdn.net/v/t45.5328-4/621647979_1664423218303239_3232096357005125362_n.png?_nc_cat=111&ccb=1-7&_nc_sid=c7e7b7&_nc_ohc=8BgfAjfYUN8Q7kNvwHNcroW&_nc_oc=Adoau1AVFYm3nSB8tFCVGCcdIT_cjbt9wYiLhho9Ph3VmmKf6ZSrxEfhKS2TITtS5B8&_nc_zt=23&_nc_ht=scontent.fqsa1-1.fna&edm=ANyJclEEAAAA&_nc_gid=EATm5ibRuWfwfRxjlVRHaQ&_nc_tpa=Q5bMBQGwDyr0WXZjclXdgy2whel1gquQ9xeUQ5Ncmah8BebfTlCuMLrSgL5xo7NWh8LHo5RXRO5MRR-Rjg&oh=00_Af3df88lSrWEqjqnXE2ijRqaq1CaYvazBKaCw5ALhQZugA&oe=69EA8167;images/011.jpg
012;25577957235195997;CAMISETA GRIS ÁNGELES;3.89;sin_categoria;unisex;XS,S,M,L;S;False;https://scontent.fqsa1-1.fna.fbcdn.net/v/t45.5328-4/622298084_2081128816075210_633667811909734031_n.png?_nc_cat=106&ccb=1-7&_nc_sid=c7e7b7&_nc_ohc=rU7w0E-QKG0Q7kNvwE2iFAm&_nc_oc=AdrTpBSLVCOC2Eqa2SxqlB1U-12Q7UJXJyj2-LAFL2nj4S7uiv9ND0n9BLwhpIOYi8Q&_nc_zt=23&_nc_ht=scontent.fqsa1-1.fna&edm=ANyJclEEAAAA&_nc_gid=EATm5ibRuWfwfRxjlVRHaQ&_nc_tpa=Q5bMBQGeKXheSzmV19MCg9NfMB7EiIaxUcpU4tfzh0MLYLdGe6HqSkUI5KTHrbQWy9VXUUrP8ReZxaaBeA&oh=00_Af3RtT_rEWjw1xWmBbNBSJJblEZS4-aHQfkJsexTpf3OGA&oe=69EA9745;images/012.jpg
013;25655944737406805;CAMISETA HONDA CIVIC;5.39;sin_categoria;unisex;XS,S,M,L;M;False;https://scontent.fqsa1-1.fna.fbcdn.net/v/t45.5328-4/622292149_861493353428258_1231551879930501229_n.png?_nc_cat=106&ccb=1-7&_nc_sid=c7e7b7&_nc_ohc=GfNsNtb_gCoQ7kNvwGTIssx&_nc_oc=Adq47761LH32flJaOmDDJb8rOoJVCFEKcuLKgNsJjdHuKf0qgPkYMl33caH3ky-ZuRI&_nc_zt=23&_nc_ht=scontent.fqsa1-1.fna&edm=ANyJclEEAAAA&_nc_gid=EATm5ibRuWfwfRxjlVRHaQ&_nc_tpa=Q5bMBQH_Af-QVtA6SEDMiEKSdnn24Xl2-ZYfss8x3ioCIhwdAxEPjYlXFU0w0YIt-cCZVD1Xs6ru70sFpw&oh=00_Af0BRjBbwsQvJyHz5PGyCzHYEEflr1gzuG_gJCB3H4YZMg&oe=69EA73DA;images/013.jpg
014;34372832325648788;CROP TOP TIRANTES;2.09;sin_categoria;unisex;XS,S,M,L;M;False;https://scontent.fqsa1-1.fna.fbcdn.net/v/t45.5328-4/620637810_1620817052402325_5877710976001331571_n.png?_nc_cat=103&ccb=1-7&_nc_sid=c7e7b7&_nc_ohc=Fvg8Z3kvjsYQ7kNvwEbqbES&_nc_oc=AdrA3yAHJIoaAecsCRJalvRwwrtYlSAznmrNklrUPZd923GggMfiA6rf7HPxFieHNms&_nc_zt=23&_nc_ht=scontent.fqsa1-1.fna&edm=ANyJclEEAAAA&_nc_gid=EATm5ibRuWfwfRxjlVRHaQ&_nc_tpa=Q5bMBQGHQp6G_70OEbD7iO1MqA0Phx6P8asrdoea_lC9PflyWf0a9lm0c2pLyy-M3KqbNmraMgPh7kovug&oh=00_Af1Bgo7OQc9YWocG0qpCEOoLrGJdlAWEZR23RRITBbn2AQ&oe=69EAA75B;images/014.jpg
015;25632738873051606;CAMISETA BOXY;3.89;sin_categoria;unisex;XS,S,M,L;xl;False;https://scontent.fqsa1-1.fna.fbcdn.net/v/t45.5328-4/622097635_1197137945902093_3893615877020220332_n.png?_nc_cat=104&ccb=1-7&_nc_sid=c7e7b7&_nc_ohc=gs0z2JH7bh8Q7kNvwFRb9yc&_nc_oc=AdpvgOHowDLov6HbZvPkxIsGMZGKaz8iBWlACsvQ1UAqieBJsd7TD3EFNVbxJF7fZvw&_nc_zt=23&_nc_ht=scontent.fqsa1-1.fna&edm=ANyJclEEAAAA&_nc_gid=EATm5ibRuWfwfRxjlVRHaQ&_nc_tpa=Q5bMBQGFFijEVyBr6zfB8fEFMAx9KCwWwcHykAgP1okvonsPleIMFocX-QbRCEuaHkdR1IFgEON_l63V8Q&oh=00_Af1Iw6U1Wg0uXn4tJdPiNZj_rt_AOzVjGI0zpbGxVOMeCA&oe=69EA8D65;images/015.jpg
016;25750463141306743;POLO MANGA CORTA;4.79;sin_categoria;unisex;XS,S,M,L;M;False;https://scontent.fqsa1-1.fna.fbcdn.net/v/t45.5328-4/620527751_1471407661163918_1097671673080080060_n.png?_nc_cat=104&ccb=1-7&_nc_sid=c7e7b7&_nc_ohc=ya0MzSyWtacQ7kNvwEyLKwI&_nc_oc=AdqpEA9KQ97VSgPHaIazbG2ehH7TP1_v6jGDIdf9M9kUDMElwwl3vHI4SssMqVhym6k&_nc_zt=23&_nc_ht=scontent.fqsa1-1.fna&edm=ANyJclEEAAAA&_nc_gid=EATm5ibRuWfwfRxjlVRHaQ&_nc_tpa=Q5bMBQH2WFjcQdxnktUPQDDEQiip1GihBL3r9Oef456xSXENH3B_0eLexp0UVYC_iI39WjKUSJHPCWjMrg&oh=00_Af17vxyTJs3Q6VMhoiggsn6JQE-oRE91utxqNHowioXmgQ&oe=69EA9B89;images/016.jpg
017;33544768795167751;CAMISETA GRAFICO;3.89;sin_categoria;unisex;XS,S,M,L;M;False;https://scontent.fqsa1-1.fna.fbcdn.net/v/t45.5328-4/621769477_873599125472334_777634019032037412_n.png?_nc_cat=101&ccb=1-7&_nc_sid=c7e7b7&_nc_ohc=8z02Zcp04GsQ7kNvwGTSIIj&_nc_oc=Adrmz0TWmbD_t9XgnAhtFoyWVGzMa2CTO7H3JDgM5csYybt76o0_4-cDWPMg8wJGyQw&_nc_zt=23&_nc_ht=scontent.fqsa1-1.fna&edm=ANyJclEEAAAA&_nc_gid=EATm5ibRuWfwfRxjlVRHaQ&_nc_tpa=Q5bMBQGFkbbgC5Y0aWavDCdIokvgbVFICzfB5OIL-S0UimXyydjlV2BAP0r7AKt4qKMjGoxAqmeza4F25g&oh=00_Af0zRgyUY30pkclgFbCX6RrC1Zwgug3N5EmWJzBDJjiNMQ&oe=69EAA070;images/017.jpg
018;33363834529931285;TOP HALTER ESPALDA DESCUBIERTA;3.89;sin_categoria;unisex;XS,S,M,L;L;False;https://scontent.fqsa1-1.fna.fbcdn.net/v/t45.5328-4/622386780_2003016477758424_5880183255683052460_n.png?_nc_cat=111&ccb=1-7&_nc_sid=c7e7b7&_nc_ohc=ziaAsyggf7wQ7kNvwEjxnSb&_nc_oc=AdquQzkAf408BaD81AiSu0gKw3LSU9t5HmXNsPqzIhgvlPhnw7Sw_FybWgO07kGBMdI&_nc_zt=23&_nc_ht=scontent.fqsa1-1.fna&edm=ANyJclEEAAAA&_nc_gid=EATm5ibRuWfwfRxjlVRHaQ&_nc_tpa=Q5bMBQHQOGKHjzTCFxmtcw72bXztkvIIJR4-9nOF_uSQdm-ajJsi3Ru2_hT66nvgILe8ZT1xGfJsIYibrQ&oh=00_Af3C42ubmcoTqKXH1rGBHnqwEGiJO2znxkeCuzVZBLdL_Q&oe=69EA7DE6;images/018.jpg
019;26279780898294371;CAMISETA SIN MANGAS LAVADA;2.99;sin_categoria;unisex;XS,S,M,L;S;False;https://scontent.fqsa1-1.fna.fbcdn.net/v/t45.5328-4/621727190_3544676595671211_745277183983394552_n.png?_nc_cat=109&ccb=1-7&_nc_sid=c7e7b7&_nc_ohc=q1qA6PGq7VQQ7kNvwHT9TTj&_nc_oc=AdraDOc0UkhZvRevmQ8blQl0p9EQdshmGmbLGvgn6TxS7yzaTeSWj5XpU-K6tijYPuE&_nc_zt=23&_nc_ht=scontent.fqsa1-1.fna&edm=ANyJclEEAAAA&_nc_gid=EATm5ibRuWfwfRxjlVRHaQ&_nc_tpa=Q5bMBQEU1d29sLtKgprnJFS9KDIxZKDN8KNl3HMr-GDAVgPU3sicm4VCvFuYlvdTMwgEy06DNDZymm0UCQ&oh=00_Af0MsujdueKtYUy4IfRnSPq7p1_b05vT6AXxOoWB0VvwsA&oe=69EA9EAE;images/019.jpg
020;26276314985308721;CAMISA MANGA CORTA RAYAS STWD;17.98;sin_categoria;unisex;XS,S,M,L;M;False;https://scontent.fqsa1-1.fna.fbcdn.net/v/t45.5328-4/622298061_1519267793247524_2792365882469499971_n.png?_nc_cat=101&ccb=1-7&_nc_sid=c7e7b7&_nc_ohc=YBfFnisIQL8Q7kNvwHIyAsI&_nc_oc=AdqgXr81qhcGUxn0Ijl4w4ZRSx9gcTpryvydp3codlqrsLO7CRZ5-_Yfu__3HwLHeyY&_nc_zt=23&_nc_ht=scontent.fqsa1-1.fna&edm=ANyJclEEAAAA&_nc_gid=EATm5ibRuWfwfRxjlVRHaQ&_nc_tpa=Q5bMBQE1SATguxEW2GIRTqZ1C44puev0TnSLUVBc3gf1Wk9LKxIFikgv6xkwxJWkTUH0_UaOPIu9IN4YZw&oh=00_Af3zwuj9HZhFM2GBxHh3CaXIT7bwBChJQc2Kx4YdFoQjBA&oe=69EAA7C1;images/020.jpg
